text,label
tonggo kos kontol cokkk buka tutup lawang sak karepe dewe gubrak gubrak cok awas kon yo nek kok turu tak setel sound horeg mampus kon cok kemproh sisan nek nyapu kos e gatau diresiki lorong ngarep lawang e malah diarahno nang aku,negative
Gaboleh bawa sound horeg Udah diwarning guys  PMATu 7 PMATusnX,negative
Pake sound horeg gasih jesp biar keras sangat,neutral
Azab memainkan sound Horeg.,negative
Awannya tidak suka sound horeg,negative
Awan e sumpek ngerungokno sound horeg,negative
Azab daerah hobi sound horeg. Ben kuping pecah kebrebekan endase pecah kepanasan,negative
fungsi sound horeg yg asli,neutral
hamdallah. memang lu harus dihukum dengerin typical story 1 1 kali pake sound horeg,negative
Gw lebih mendukung ini drpada sound horeg,negative
gw dibelakang rumah orang lagi bikin siasat ngeledakin tuh sound horeg,neutral
Tak kiro sound horeg. Bajingan tenan.,negative
mirip back dancers nya sound horegMAAFFFF,neutral
Kenapa tidak bisa saling toleransi aja? Kalo orang harus menghormati suara azan kenapa tidak bisa menghormati suara sound horeg juga? Kalo bisa jalan bersamaan kan seru. tidak perlu menghalangi satu sama lain. Begitulah seharusnya toleransi.,positive
Kenapa tidak bisa saling toleransi aja? Kalo orang harus menghormati suara azan kenapa tidak bisa menghormati suara sound horeg juga? Kalo bisa jalan bersamaan kan seru. tidak perlu menghalangi satu sama lain. Begitulah seharusnya toleransi.,positive
Maka toleransi lah pada sound horeg juga.,positive
Musik itu haram &gt; sound horeg,neutral
analisis keterkaitan sound horeg dan joget psht dalam membangun harmoni sosial di jawa timur (studi kasus),neutral
dari namanya udah jelas sih sound horeg. jadi abaikan ya gaess,neutral
sound horeg nih nyusul ayo warga east coast,neutral
bayangne bar tahlilan muter sound horeg trus seng hadir wong psht opo ra kiamat semakin dekat,negative
kalo bohong mulu ntar dikirim sound horeg loh jiwaiji,neutral
Emang di lombok ada sound horeg?,neutral
OP belum denger aja temenku kalau bikin story lagunya dj jedag jedug story setelahnya dangdutan setelahnya lagi sound horeg. Berasa di terminal,neutral
Ya di jawa doank lah kalau ada sound horeg bisa adu parang warga tidak peduli juga pemodal siapa berisik gitu ngerusak rumah,neutral
Saya panggilkanko sound horeg. tunggumi,neutral
mau dengerin asing pake sound horeg pada ngamuk tidak ya nanti?,neutral
Kenapa sih banyak orang bodoh tapi bicara agama ngalah ngalahin sound horeg?,negative
Info ngantemi sound horeg,negative
Sebenernya visi misi dan tujuan ngeplay sound horeg pagi pagi tuh apa yaaa,neutral
indonesia kudu maju heula ai sia palistine merdeka sound horeg eweuh bola ubi jadi makanan internasional gta kudu aya 1 1. Baru skate 4 keluar announcement nya.,neutral
i feel u kak pernah kerja ber 5 aku cewe sendiri mereka klo nge jokes bahasannya selalu merendahkan wanita dan catcall anak smp udah aku tegur secara ngelawak soalnya klo ditegurnya serius aku blum se berani itu,negative
sepertinya para pemuja sound horeg pada sakit jiwa,negative
Ini alasan kita ketolak workdol dia nyarinya pekerja dengan mimpi dan cita cita yg serius bukan biduan sound horeg. Pham?,neutral
request diucapin pake sound horeg dan makan siang gratis yah,neutral
Legend sih ini Jadi keingat tetangga gue yg tiap hari karokean segede sound horeg playlistnya tuh mostly dangdut terus ini doang lagu pop yang nyempil,positive
FUKKK AKWKWKWKW GAKUAT GUE BACANYA sound horeg dua truk cukup tidak ya kira kira??,negative
Gue udah enek BP . dia emang pengkhianat yg bikin ganjar KO,negative
Udah ndhak percaya BP bau bau mulyono nih orang pengkhianat ganjar,negative
Ngga percaya pacul lagi. bau bau mulyono,negative
tidak percoyo lah. wong kemarin kemarin aja tidak mau jadi timses kok. alesan sibuk di dpr.,negative
BP bukan timses andika,neutral
yaa untungnya di daerah jateng DIY gaada sound horeg tapi adanya geng motor rx yg kualami sore ini,neutral
Ribuan Massa Sambut Meriah Kedatangan Mas Dhito di Aksi Battle Sound Horeg Kediri,positive
min aku muak sama sound horeg bisa tidak dibuat undang undang agar tidak diperbolehkan penggunaan sound horeg sembarangan Plis banget,negative
Begitulah klo kelasnya seperti sound horeg,neutral
kalo aku punya sound horeg terus aku puterin lagu-lagu berisik skz hehe bisa bikin geter rumah tetangga yang rese wkwk,negative
manifesting nikah tanpa sound horeg,neutral
tapi untungnya speaker mesjid coba kalau sound horeg,negative
yg kemaren vote ini semoga jaringan kalian ilang ilang an pas pusrenk,negative
pgn ambil benet tpi gabisa makenya,neutral
ini beneran kah??? kocak sangat jir,neutral
akhirnya saya jadi sarjana sound system horeg atau kalo kata temen temen gw jadi tukang servis ac soalnya klo ac mulai bunyi panggil mas audio engineer buat benerin  GjydZDEZn,positive
Mas Dhito Janjikan Regulasi untuk Kegiatan Battle Sound Horeg di Kediri  jsSuUGJxM,positive
Ojo di enggo gowo sound horeg,neutral
tidak ngejar paling km diikat trus dipaksa denger WaE kUrA cHi MoLlA aAeAaAa pake sound horeg,negative
tidak beda jauh sama fenomena sound horeg. Sama-sama sampah,negative
Di kanal Youtube banyak streaming instrumen bermacam alat musik yang memanjakan telinga kok ya ada yang milih menikmati sound horeg,negative
Berusaha memahami: Kenapa ada orang² yg suka sama sound horeg sama knalpot brong musik² DJ yg berisik petasan besar dan mereka yg se-olah² ingin menjadi yang paling keras: Mungkin mungkin ya karena mereka sebenarnya selama ini hanya ingin bersuara ketika ditekan sejak,neutral
Tadi nemu tweet blg bayi nangis semaleman ortunya tidak nenangin jadi sendernya pasang sound kenceng buat ngebales. Terus reply replynya nyuruh pasang sound horeg sekalian. Mereka gatau ya bayi itu dipakein baju aja bisa nangis dan ditenangin jg blm tentu lgsg diem? Smh,negative
Narasi asli video: Tanya: tau tidak kemaren City kalah? Jawab: ha? Kagak. Taunya liverpool menang T: iya kalah lawan Brighton tim yg liverpool kalahin sebelumnya J: wayahe joget joget sound horeg,neutral
Aliran sound horeg nih?,neutral
yoii kalah sound horeg,neutral
Info sound horeg terdekat Test Mocap video Mayan mulus tinggal bersihin dikit wkwkkw  KWE 5 KWEN 5 KWE 5 KWENweK,positive
Kira kira SOUND HOREG ada yang berani ngebacok tidak ya wkwkw,negative
BERANI sangat ANJING WKWKKWWKWK,negative
ANJINGGG AWOKAWOKQOWK,negative
sad :( kene daerah barat hujan masih bress terus 1 1 menit terang tp wes lumayan emang jatim kayak e masih kenek azab sound horeg :(,negative
Sound horeg punya biduan?,neutral
Kru musik horeg berdebat dengan warga tdk mau mengecilkan suara volume Sound horeg pada saat azan,negative
Kok qrt pada marah marah?? Meninggal loh cok lo tidak pernah berduka kah? Buset dah orang bilang wajar nangis malah lo plitir sana sini kalo gendernya dibalik kalo udah mantan harusnya gk nangis kalo lo pada aja yg mati gimana su? Mati gih gw sewain sound horeg,negative
Oh begini rasanya jadi warga yang rumahnya dilewatin sama sound horeg dan rumahnya sampe geter wkwkwkw,neutral
fyp tiktod gw isinya biduan sound horeg mulu udah saatnya gw daftar.,positive
Normalize sound horeg menyuarakan adzan salawat nabi dan anak-anak/ibu-ibu mengaji di daerah-daerah yang sedikit masjidnya. Supaya kecintaan pada Islam makin bertumbuh ️,positive
hipokrit momentos aku di twt plg banter nolak sound horeg irl malah ngebantu jualin tiket sound horeg,negative
Suruh manggung di pantura aja tuh panggung auto full besikuat tambahan sound horeg jangan lupa bakal meledak konser nya,positive
Yay lah sambil bawa sound horeg,positive
tambah sound horeg diblakang nder,neutral
setelah sekian lama tidak menghadapi orang tua wanyik ndredeg e koyok sound horeg,neutral
Lagi tidur siang enak enak malah ada suara sound system horeg bgst mana kasur gua sampe geter lagi,negative
masih aja itu sound horeg wkwk,neutral
Eh serius mau tanya laporin tetangga yg tiap hari dari jam 1 1 pagi sampe maghrib nyetel horeg ke rt bakal digubris tidak? Jujur udah di tahap muak banget mau fokus tenang buat zoom malah tidak denger gara gara sound horeg tetangga meskipun udah full volume speaker tetep tidak dengerr,negative
Kak sound horeg lucu banget,positive
Harusnya garap pas ada acara Sound Horeg ya  hcV hcV hcVnipop,neutral
bangsat siang siang ada sound horeg njir,negative
Rx king bukan budaya ya itu komunitas beda sama sound horeg,negative
Sejutune ngeporrrrtr,neutral
Sound horeg apa rx king?! Mana jagoanmu?,neutral
bayangin km ke pantai buat cari ketenangan tp tbtb ada truk datang alias sound horeg anjeng brisikkkk,negative
jawa timur ono sound horeg jawa tengah ono jambore rx king enjoy Indonesia cemas 2 2 20 20,neutral
Merapat ke kang sound horeg terdekat,positive
mereka tau sound horeg tidak ya? takut banget nanti tiba tiba muter lagu kopi dangdut pake sound horeg,neutral
Ku mending denger sound horeg sih,positive
msi mending apt tetanggaku nyetel sound horeg pke speker gede gede plus tingkat 3,negative
Kentot gw baru tidur jam set 6 pagi kebangun pagi lagi Gegara tetangga play music di speaker berasa di bangunin sound horeg tidak bisa bobo lagi,negative
gue panggilin sound horeg sih biar dia ngeDJ di atas sound,positive
Itu masjid apa sound horeg?,neutral
Klub kecil tidak ada fansnya kalo kalah. Tapi kalo menang beeeuhh kaya sound horeg.,neutral
Pilih mana dengerin sound horeg atau MBV live performance?,neutral
Itu juga kalo nyokap lagi berbenah piring sendok beradu berisik banget kek sound horeg,neutral
*lagi liburan ke malang* Tenang banget tata kotanya rapih tidak terlalu macet nyaman pengen tinggal di sini deh kayaknya *tiba tiba inget sound horeg jatim* Noooo,negative
Kalo udah rilis ingetin aku buat nyetel nasa pake sound horeg supaya seluruh dunia tau kalau suara oh sion se candu itu,positive
Bayangin yah dari subuh aku udah disuguhi suara dari sound horeg yang menggelegar itu Sabaaarrr tidak boleh marah,neutral
Sumpahh pengen tak musnahkan ae iki sound horeg,negative
Jangan sakiti hati rakyat. rakyat akan melawan,neutral
Andika perkasa sudah memenangkan hati rakyat no lungli lungli no tilang tilang yesss,positive
Memang pengkhianat !!!,negative
Terungkap kan. kenapa pak ganjar sampai kalah ??? Pengkhianatan dari dalam,negative
Gue lah si NCTZEN itu guncang pakai sound horeg ya njun,positive
Mey kamu kenapa mey gegara sound horeg kah menjadi tidak fokus,neutral
Terus kalau suara sound horeg lebih berat maka yang toa berisik menjadi tidak salah? Kesalahan pada 1 pihak tidak meniadakan kesalahan pihak lain. Kalau di rumah saya ada sound horeg juga saya pasti protes,neutral
Buat panggung sound horeg ya itu?,neutral
Btw salfok mahal amat tagihannya sampe 9 9 9 ribu pake sound horeg kah di rumah,neutral
Ndelok enola kyok ndelok sound horeg sek tak oleh kuping rasane te jebol tp epic pol suangar,positive
Kalo ini tidak usah dikasih wm krn suaraku adalah wm itu sendiri aku mau apresiasi bgtbgtbgt performance ini sih sumpah ini terbagus terkeren dan terGONG. Terlepas dr sound horeg dr mecima entah knp vibes performance ini tuh kayak gila sangat dr day day dan myday tu beneran  b ZoIom5 b ZoIom5 b ZoIom5 bX,positive
biasa biduan sound horeg,neutral
Gawundeeeng guwendenggg enola sound horeg tamat  gapOHVdeH,negative
Ngakak banget ngebayangin Venom tidak survive di Jatim soalnya banyak Sound Horeg dimana mana,positive
Kirain tt biar kenceng dikasi sound horeg,neutral
Wajib dirayain pake tanjidor sama sound horeg,positive
orang orang ini kapan ya bosen sama sound horeg?,neutral
Kaga tau juga ini ada sound horeg kyknya di gusi gue den,neutral
crush gue ganteng ganteng sukanya nonton sound horeg anjir kenapa harus sound horeg yang gua benci,negative
lebih serem kelakuan sound horeg,negative
setelah tragedi ban bocor sound horeg bocil kematian syahurr mimi peri kaos ketinggalan dan kejadian absurd 2 hari kemarin (ini kalo ada meteor jatuh kemarin masih keknya masih masuk akal sangat) FINALLY DONE YA GES YA  MfYoyq MfY MfYoyqqA,positive
Temen aku pesen sound horeg buat muter suara ketawa di depan rumah Gen,positive
panggung sound horeg ini mah,neutral
Puter dulu coba anthem nya pake sound horeg,positive
cakep bangettt kamu gay tidak kak? klo tidak aku izin follow mmf yaa,positive
Acara kampanye hiburan sound horeg ramene kayak ngene,neutral
JiwDip jaya jaya jaya *sewa sound horeg - ini tuhh ringan seringan - ringannya. asal mood dipta bagus  uqBC uqBC uqBCojCL,positive
Telah menamatkan sound horeg  HLGOgoGUO,positive
psti km pemburu skin nolan ia,neutral
Samping omah Battle Sound horeg Kediri area Bandara Kediri Pecaaaaaaaahhhhhhh,positive
kena azab sound horeg emg keknya yol,negative
kalo anda merasa terganggu dengan sound horeg bersyukurlah anda tidak hidup di jawa timur.  YjpmEIEsU,negative
Ttp tendor harga mati setidaknya ketutupan sound horeg aja bukan tiang kematian kaya di bcis ka,neutral
Blunder lagi nih. FBR pasti ngga terima ini,neutral
Nder lu beli sound sistem plis biar horeg juga,positive
idaman supir truk sound horeg jamet jedag jedug si paling sifat iblis unchh jadi takutttt  r m2 rJmkA m2 r m2 rJmkAP,negative
cita cita jadi sound horeg itu gmn anjirrrr. ngakak sangat anjiiirr,neutral
oh jadi emang dari orok lu udah direncanain jadi villain ya? makanya jangan bawa bawa massa buat ngebakar gua dikejar sound horeg tau rasa lu,negative
miris enek sound horeg mburine cah ngaji ge gendero NU pisan. tulungg ojo opo opo di longgarne mergo hiburan masyarakat suwe suwe tidak ngrangkul malah katut,negative
Sound horeg di prindapan apapun yg menghalanginya langsung dibongkar ternyata sumber itu yg menginspirasi warga konoha (jatim khususnya)  ehhnHqgOX,negative
Operasi sound horeg sok keras,negative
Terus nanti tetangganya sender yg lain ikutan benci banget dan bales lagi nyetel lagu super kenceng terus tetangganya yg lain lagi juga terganggu dan ikut bales lagi terutama tetangga yg lain juga yang lain juga. Lalu satu kampung patungan sewa sound horeg,neutral
tetanggaku menikah dgn sound horeg kahh rumahku begetar ddrrttttt drrtttt,neutral
Jelas lah. Horeg itu aslinya usaha juragan sound system yg rugi pas covidjamet yg bosen selama pandemi trus dengan selesainya double track sampe jatim jadi pada kepengen bikin dugem. Jadilah horeg nyebar,neutral
nyebelin tai sound horeg kampung bgst mengganggu banget,negative
sound horeg bukan itu kak??,neutral
Rumahku kacanya pecah kena getaran sound horeg.,neutral
WKWKWKWKW SOUND HOREG,neutral
U tidak TAU SOUND HOREG? itu acara viral di tiktok,neutral
sound horeg wkwkwk,neutral
