text,label
@rudysirwi @lottiepie_store @fotodakwah @Tita83079013 Ya beda lah sound horeg ampli nya 10 apa 20 adzan kan ampli nya cuma 1 beda jauh lah.. hati lo aja yg keras panasan denger adzan udah kaya denger apa.. tetangga gue non muslim aja rumah nya deket mesjid gapapa katanya ga masalah udah friendly dia ama suara adzan..,negatif
anjing siapa yg nyiptain sound horeg apalah itu berisik banget anjingggg ganggu,negatif
@bacottetangga__ Yg goblok bgini gak ada beda sama knalpot bronk dan sound horeg kalo ditanya artinya polusi juga capek depatnya ya kan bacain ayat kursi aja ubun2nya biar pergi rohnya dah!,negatif
@KemenperinRI Kolaborasi PSHT x Horeg besok kalo mati ga usah diyasinin cukup asmr man rabbuka 24 jam pake sound horeg,negatif
@KemenperinRI Sound horeg brengsek ngiringin bajingan silat. Kombo maut merusak intelektual. Pemerintah seneng ngeliatnya makin banyak orang goblok makin gampang diatur,negatif
@RealestFarzet Translate dari video tersebut dia bilang jgn coba bawa sound horeg ke tanah papua kmi tidak ingin budeg cam kan itu,negatif
kalo ada sound horeg yg lewat trus ngerusak ya bakar aja udah .,negatif
@opposite6892 Biarkan dia dikubur nanti sama sound horeg nya,negatif
ini masih pagi banget plis sibuk bener udah nyetel sound horeg elaaaaahhhhhhh. jangan mentang mentang anak rt loooo,negatif
@kesendrian Gw lebih mendukung ini drpada sound horeg,negatif
@YourN0t1 gw dibelakang rumah orang lagi bikin siasat ngeledakin tuh sound horeg,negatif
Tak kiro sound horeg. Bajingan tenan.,negatif
Musik itu haram &gt; sound horeg,negatif
@mncrgknskl dari namanya udah jelas sih sound horeg. jadi abaikan ya gaess,negatif
@brzcha ngk la asal ngk party sound horeg,negatif
@irshenlin ㅤ Semoga bisa jadi evaluasi. Sound horeg itu kasihan lho yang tua-tua. ㅤ,negatif
@diabara_ @opposite6892 sound horeg tuh lebih keras dari sound hajatan kah? kalo iya parah bgt sih soalnya menurut gua sound hajatan aja udah sakit dada apalagi sound horeg gk kebayang nenek/kake yang deket situ,negatif
@Tita83079013 Sumpah aku ga terganggu sama suara adzan dan ngaji2nya tp plis benahi kualitas speakernya. Nyaring pol nyeter ning kuping koyo sound horeg,negatif
@KesetwelcomeO_O Aku yg orang jatim sendiri berharap ada larangan sound horeg kok ganggu bnget,negatif
Ini kapan sihhh sound horeg selesai? Warga sana apa gaada hiburan lain kahh? Cape bgtttt,negatif
@bacottetangga__ hancurkan sound horeg bikin penyakit,negatif
@bacottetangga__ sudah saatnya Soundhoreg ini dikenai Pajak. Kl sudah kena wajib pajak Sound-nya pasti gak Horeg lagi... ,negatif
@AngelaP87434352 @bacottetangga__ Ntr kalau mati kasih sound horeg aj jangan diadzanin ?,negatif
@bacottetangga__ Bakar aj tuh sound horeg !,negatif
@bacottetangga__ Ya Allah ya Rabbi.. Sound horeg ini memang sangat-sangat mresahkn dunia. Sudah merusak bangunan kendang telinga tapi orang2nya gk mau berhenti kyk kerasukan sj mreka gmw brhenti. Walau azan walau rumah runtuh tetap jalan saja. Astaghfirullahal'adzim. https://t.co/LaZ6H2i6Wl,negatif
@bacottetangga__ Tolong para kaum ulama memberikan fatwa haram sound horeg. Kita ganyang rame2,negatif
@fotodakwah @Tita83079013 Orang protes itu bukan karena takut khi. Tapi karena terganggu. Protes azan sama saja dengan protes sound horeg. Berisik ganggu ketenangan orang..,negatif
Temanku awardee iisma cantik bening kayak bidadari spek yalil yalili pacarnya jamet blok m sound horeg,netral
REAL SOUND HOREG PADA ERANYA https://t.co/pSxyuoWkz5,netral
@jawafess Daerahku ga enek sound horeg tapi hama sendekar,netral
Masih gabisa lupa salah satu komen di youtube yang bilang Ororon orang indo ultinya based on sound horeg,netral
@rudysirwi @lottiepie_store @fotodakwah @Tita83079013 Punya tv ga? Hp d pake utk liat apa aja bermanfaat ga? Bisa kan liat berita d hp?. saya ga pernah liat si untung nya d kota saya ga ada sound horeg saya cuma liat d berita itu 1 truk sound horeg spiker gede nya ada 10 ato 20 biji. ya beda efek lah klo jumlah sound nya beda jauh.,netral
@DUALIPA mbak besok tampil di Rampal Aja pakek sound horeg,netral
@tanyakanrl bener tapi tiap minggu ada karnaval sound horeg tetanggan sama sekampung warga padepokan pendekar,netral
@licttncndy pasti di dom mu ga ada sound horeg yh?,netral
@Casmaralibrasi Gak due sound horeg mung sound hajatan,netral
@WittyOwlie coba dulu aja disatuin sound horeg sama kulkas 35 pintu siapa tau cocok wk,netral
@BudiBukanIntel katanya mau sewa sound horeg buat puter lagu nanam jagung gajadi apa?,netral
@renjunyiel udah bosen jadi orang baik jun? mamang jamet mana yang menyakiti lu jun? gua bawain sound horeg lu ya,netral
SMPE SKRG GUE GATAU LETAK SOUND HOREG ITU DARIMANA ASALNYA ‍,netral
@TamiVerina19 @lottiepie_store @fotodakwah @Tita83079013 Masak sih ga pernah liat ukht? Kok antum bisa tau sampe detail amplifier nya ada 10 20 biji? Sound horeg atau sound azan ya sebetulnya sama² sound kan ukht?,netral
@xqlegfan anying sound horeg bapak kau mo acara dlm rangka aph,netral
@Banyumasiana Kotak kosong nembe 17%...,netral
@zakiberkata Awannya ke geser sama suara sound horeg,netral
@akbarfaizal68 gak bisa jadi patokan sih polling di twitter yg lebih menentukan itu rombongan tiktok sukolilo sound horeg dan semacamnya,netral
@jawafess namanya juga Perkumpulan Sound Horeg &amp; Tahlilan,netral
OH IYAAA SUMPAH DARI KEMAREN INI SELIWERAN AKU TUH MIKIR INI KEK GERAKAN APA YAA YG RAME2 TRS BARU INGET INI TUH KEK CEWEK2 DO SOUND HOREG,netral
Pas itu g kepikiran dan lupa klo gamelan di gunung dikaitin mistis. Trs temen gw A bales Itu mah org hajatan kali. Yaudah gw pikir iya kali suara hajatan di bwh. Di bwh mungkin hajatannya heboh pake sound horeg versi Jabar sampe suaranya kedengeran smpe pos 4 Cireme.,netral
You said diskoria with sound horeg meanwhile di era sebelum 2000an blm ada tradisi sound horeg di diskotik,netral
CURIGA PASTI DI TIKTOK MEREKA LEWAT VIDEO MBAK-MBAK JOGET KARNAVAL SOUND HOREG,netral
@V3g3L Cobain sekalian sound horeg dilewatkan melintasi propinsi Bali pas waktu hari raya Nyepi. Pengen tau kalo ga perang sama Pecalang2 di sana ,netral
@zakiberkata awannya keusir gelombang suara sound horeg yang kencengnya sampe stratosfer,netral
@yunifajriyah @starfess KAK KETAWA BANGETTTT KENAPA SOUND HOREG SII,netral
@cyumins bentar lagi ada sound horeg lewat mars,netral
@KemenperinRI analisis keterkaitan sound horeg dan joget psht dalam membangun harmoni sosial di jawa timur (studi kasus),netral
tonggoku bendinane nyetel dj sound horeg moro2 nyetel die with a smile,netral
@feedemady Jawir pada unik SOUND HOREG JAMET PESILAT KLITIH DLL WOW,netral
swami: pindah sini ta? enak tetangga e ga ada yg bakar-bakar sampah. emang iyahh? ga ada sound horeg juga?,netral
@yujsuh jj nya udah cocok diputer pake sound horeg ,netral
Ormas silat udah collab sound horeg kah ini?,netral
truck nya udah pada sampe ya kirimin sound horeg juga plis #treasure #2024MAMAVOTE,netral
Bahkan sound horeg sekarang sudah mulai semarak di kurik,netral
mecim aku ae ate ngruokne suarane ricky kudu nyekeli kabel speaker sik. speaker lawas soale. wingi yonk betot ricky ndek ngarepku pas suarane gak patio manteb padahal wes bayar sekian jt ambe bass e sound horeg ae kalah manteb kocaklah mecim. sorry sik gurung ikhlas https://t.co/XHj1AgKAhI,netral
@rudysirwi @lottiepie_store @fotodakwah @Tita83079013 Gue liat berita bro bukan sound horeg nya doang.. maksud gue speaker.. Klo model toa nya banyak gitu d mesjid si yg lo tegor mesjid nya dong bukan adzan nya..,positif
@rudysirwi @lottiepie_store @fotodakwah @Tita83079013 Kaya nya lo asal ngomong doang ya basic nya lo aja gak tau sound horeg tu apa kaya gimana bentuk nya? Makanya jangan asal ngomong riset dulu survey dulu.. dasar lo..,positif
 dh cocok pke sound horeg https://t.co/YqwUih2R8i,positif
@yundearest iya pls ak suka ateez krn lagunya yg kek sound horeg tbtb skarang ada bau2 pindah genre tipis2,positif
Aku terlalu sound horeg buat kamu yg kulkas 35 pintu ,positif
Tapi keknya budaya sound horeg jatim tuh sudah mendarah daging soalnya bapak w dulu jg hobinya play lagu di home theater cuma lagunya bagus2 si air supply westlife boyzone dll,positif
tp yg salutnya selama LO fm di negara2 lain di taipei ini fans nya pada kalem tenang kalo teriak pun tetep santai gak kek sound horeg di bandara tertib gak kek lagi dikejar zombie. LO pun pasti nyaman bgt tuuu. luv taipei LINGORM TAIPEI FANMEET #LingOrmFMinTaipei,positif
@thecowboyjunior Nggak sabar plisss aku udah siapin sound horeg buat merayakan verifan ,positif
@rudysirwi @lottiepie_store @fotodakwah @Tita83079013 Gw si gak ngurusin sound horeg gak pernah liat juga dan menurut gw sound horeg gak bisa d samain ama adzan beda jauh..,positif
@stayinzayne Kamu mau playlistku ga? Isinya sound horeg,positif
@aldensGaby kesepian mulu butuh sound horeg,positif
dapat insight baru abis nntn volix eps sound horeg ternyata tidak separah yang diberitakan di media yah kaca pecah genteng ambrol sampai rumah roboh ternyata udah jd kesepakatan si penyedia sound sama desa tsb.. jadi ya win win solution aja,positif
@zakiberkata Mungkin efek dari frekuensi suara sound horeg sehingga mempengaruhi pembentukan awan kumulonimbus secara masif. Bisa jadi awanya ogah nglewatin area jawa bag.timur ini ,positif
di daerahku besok ada cek sound HOREG minggu nya acara battle 12 sound HOREG -_-,positif
venom kalahnya sama sound horeg,positif
WKWKWKWKWK SOUND HOREG BJAY,positif
@entongwewew @zakiberkata kayak nya iya mulai akhir bulan okto sampai nov ini banyak acara sound horeg ,positif
@StefanAntonio__ ..mending dia urusin lomba sound horeg... https://t.co/HmNwbyf2b6,positif
Pingin puter lagu menghitung hari pake sound horeg,positif
nih lagu bener2 gaada jati dirinya sama sekali. nadanya semangat liriknya sedih jogetannya ala sound horeg,positif
@daontehmuda Gemes banget skz code ini :(( pas twerking ada yg komen kayak backdancernya sound horeg aku ngakak banget ,positif
@jawafess lalu yg bawa sound horeg emak²,positif
@ismailfahmi saatnya Indo berpartisipasi kirim sound horeg dan amunisi sampah satu kapal tanker ke tel aviv,positif
@foreajst hamdallah.. memang lu harus dihukum dengerin typical story 17 kali pake sound horeg,positif
@hyunjincentil mirip back dancers nya sound horegMAAFFFF,positif
@opposite6892 Kenapa ga bisa saling toleransi aja? Kalo orang harus menghormati suara azan kenapa ga bisa menghormati suara sound horeg juga? Kalo bisa jalan bersamaan kan seru. Ga perlu menghalangi satu sama lain. Begitulah seharusnya toleransi.,positif
Kenapa ga bisa saling toleransi aja? Kalo orang harus menghormati suara azan kenapa ga bisa menghormati suara sound horeg juga? Kalo bisa jalan bersamaan kan seru. Ga perlu menghalangi satu sama lain. Begitulah seharusnya toleransi.,positif
@lottiepie_store @fotodakwah @Tita83079013 Maka toleransi lah pada sound horeg juga..,positif
sound horeg nih nyusul ayo warga east coast,positif
@kesendrian JAMET merupakan budaya yang unik SOUND HOREG dan JAMET sangat luar biasa + PARA PESILAT wih mantap budaya yang luar biasa. Kenapa di pulau lain ga ada ya ,positif
Selamat kepada Bapak Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Indonesia Tahun 2024-2029 dari Humas Paguyuban Pemuda Kec. Magelang Tengah #PrabowoGibran https://t.co/3yJZlnkjeU,positif
@maqnite Usilin pake sound horeg wkwk,positif
tenang kita negosiasi sama pemilik sound horeg nanti,positif
@hartonheart @ygent_official @ygtreasuremaker setujuuuu kalo perlu kita sewain sound horeg sekalian‍↕️,positif
@airis_ryn AWOAKWOWKWKWW MEMASANG SOUND HOREG SATU MINGGU BERTURUT TURUT DISEPANJANG JALAN SAMBIL MEMBENTANGKAN BENDERA SAD ENDING#PeacefulPropertySeriesEP11,positif
@ ten besok kalo mau konser lagi depan rumah gw aja halamannya luas kok suka buat posyandu bahkan. sound systemnya ntar gua datengin sound horeg biar mantep,positif
@Hitlersoleh_ Asli cup ditambah sound horeg,positif
@ranikakuy @deCarmenLucie @alanahinata Sekalian sound horeg isinya lagu dangdut halalin aku.,positif
@himawanlim @Tita83079013 Besok2 sekalian aja ditanggap pake sound horeg...biar makin gelo ,positif
@detikcom Saran biar semangat puter sound horeg aja pak... biar gak pada ngantuk cocok pula diputer di gedung dewan mueheheheheheheh,positif
Seniman dan Pecinta Sound Horeg Dukung Deny-Mudawamah di Pilbup Kediri Harap Izin Pertunjukkan Dipermudah https://t.co/QKdWSWRiiL #denymudawamah #kader #pdip #partai #pilbup2024 #menujukedirihebat #calonbupati #infokediri #soundhoreg #seniman #coblosblangkone #metaranews https://t.co/CXFKkcx0P7,positif
@fotodakwah @Tita83079013 beda takut beda terganggu bagi kami yg non muslim (dan mungkin sebagian dari sodara muslim) mau suara azan atau suara sound horeg gak ada bedanya ,positif
@hourly_absurd_2 Wkwkw bgstt kena sound horeg lagunya gara-gara sebotol,positif
